date;real_gdp;real_oil;real_final_cons;uti;constant_gdp;hours;capital_net;final_energy_mtoe;;
01/07/12;6.51196235530124;88.3138381489878;6.28772637106122;0.788;3249964.75197073;0.22202380952381;39263.5577584142;277.727520295773;;88,31383815
01/10/12;6.51039108988011;84.4127198783995;6.28682710113208;0.783;3238234.60112828;0.22202380952381;39336.8925559282;278.656972602036;;84,41271988
01/01/13;6.5101208969235;90.7995252363279;6.28383833585835;0.782;3236404.59601986;0.221428571428571;39404.9369937851;279.448630765656;;90,79952524
01/04/13;6.5121732660077;90.4735831640167;6.28523869454108;0.781;3251729.23951889;0.221428571428571;39478.1359714139;278.805841724841;;90,47358316
01/07/13;6.51420868470162;101.5323610676;6.28748708827583;0.784;3266936.51936088;0.221428571428571;39556.4894888145;276.728605479593;;101,5323611
01/10/13;6.51568010251652;93.0929634217264;6.28998494305093;0.787;3278244.41853353;0.221428571428571;39639.9975459871;273.21692202991;;93,09296342
01/01/14;6.51786978533839;93.8754875816972;6.29283909686133;0.805;3294796.24718396;0.221428571428571;39728.6601429314;268.270791375793;;93,87548758
01/04/14;6.51923600530381;97.5939981276645;6.29624595960912;0.8;3304927.89826275;0.221428571428571;39818.9811245367;265.294022563829;;97,59399813
01/07/14;6.52153130840949;91.76356827394;6.30129086314017;0.805;3322812.65870403;0.221428571428571;39910.9604908028;264.286615594018;;91,76356827
01/10/14;6.52401387866084;68.5772680029756;6.30336814222021;0.806;3341648.09896102;0.221428571428571;40004.5982417298;265.248570466359;;68,577268
01/01/15;6.52721987256275;45.0444333642476;6.31000339381698;0.81;3366550.19006835;0.220833333333333;40099.8943773176;268.179887180854;;45,04443336
01/04/15;6.52898600197983;52.8376674200478;6.31753296317926;0.812;3379918.39721892;0.220833333333333;40198.8390806258;270.70045899431;;52,83766742
01/07/15;6.53115924809745;42.4793508419755;6.32042366804759;0.811;3396917.60299625;0.220833333333333;40301.4323516543;272.810285906728;;42,47935084
01/10/15;6.5334796561527;38.3685094549083;6.32219515969852;0.811;3414564.3263376;0.220833333333333;40407.674190403;274.509367918108;;38,36850945
01/01/16;6.53546546162687;30.6768094920998;6.31828149225819;0.814;3430641.91680802;0.220833333333333;40517.5645968721;275.797705028451;;30,67680949
01/04/16;6.53726552678304;42.0139134038509;6.32000410932192;0.81;3445525.41465531;0.220833333333333;40630.390920711;276.763957861207;;42,0139134
01/07/16;6.53915854415891;41.9047155205625;6.31682751383945;0.814;3460441.09144488;0.220833333333333;40746.1531619196;277.408126416378;;41,90471552
01/10/16;6.54231316768179;45.8644407168882;6.31958125276062;0.817;3484727.93239815;0.220833333333333;40864.851320498;277.730210693964;;45,86444072
01/01/17;6.54524726384002;48.0934711286859;6.32553466846196;0.82;;;;;;48,09347113
01/04/17;6.54814415372008;44.5767204404651;6.32890577996542;0.824;;;;;;44,57672044
